RollNo,CGPA
U18ME001,5.95
U18ME002,8.24
U18ME003,6.91
U18ME004,8.97
U18ME005,9.66
U18ME007,8.96
U18ME008,9.28
U18ME010,8.19
U18ME011,8.49
U18ME012,7.82
U18ME013,7.25
U18ME014,7.76
U18ME015,8.32
U18ME016,8.47
U18ME017,8.93
U18ME018,7.47
U18ME019,8.44
U18ME020,7.87
U18ME021,8.03
U18ME022,9.24
U18ME023,7.47
U18ME024,9.10
U18ME025,9.65
U18ME026,9.22
U18ME027,8.09
U18ME028,9.68
U18ME029,8.56
U18ME030,8.39
U18ME031,8.25
U18ME032,8.31
U18ME033,7.34
U18ME034,8.85
U18ME035,7.68
U18ME036,8.82
U18ME037,8.97
U18ME038,8.13
U18ME039,7.56
U18ME040,7.40
U18ME041,7.13
U18ME042,7.10
U18ME043,6.91
U18ME046,8.73
U18ME047,8.58
U18ME048,8.25
U18ME049,6.71
U18ME050,8.39
U18ME051,8.06
U18ME052,6.49
U18ME053,8.89
U18ME054,8.65
U18ME055,8.52
U18ME056,7.85
U18ME057,6.98
U18ME058,7.08
U18ME059,5.62
U18ME060,8.44
U18ME061,8.34
U18ME062,6.94
U18ME063,8.50
U18ME064,8.81
U18ME065,8.81
U18ME066,8.10
U18ME067,8.55
U18ME068,6.54
U18ME069,9.24
U18ME070,7.86
U18ME071,9.13
U18ME072,7.39
U18ME073,8.60
U18ME074,7.16
U18ME075,6.86
U18ME077,8.76
U18ME078,8.16
U18ME079,6.99
U18ME080,8.82
U18ME081,7.08
U18ME082,7.15
U18ME083,6.70
U18ME084,6.80
U18ME085,8.55
U18ME086,8.29
U18ME087,8.41
U18ME088,7.75
U18ME089,7.80
U18ME090,8.32
U18ME092,8.51
U18ME093,7.99
U18ME094,6.52
U18ME095,7.10
U18ME096,7.07
U18ME097,9.25
U18ME098,7.53
U18ME099,9.38
U18ME100,8.64
U18ME101,8.16
U18ME102,8.61
U18ME103,8.18
U18ME104,8.66
U18ME105,8.44
U18ME107,7.89
U18ME108,7.18
U18ME109,7.65
U18ME110,8.35
U18ME111,7.55
U18ME112,7.73
U18ME113,7.74
U18ME114,7.08
U18ME115,8.73
U18ME116,8.73
U18ME117,8.21
U18ME118,8.01
U18ME119,7.96
U18ME120,7.89
U18ME121,8.01
U18ME122,6.92
U18ME123,7.95
U18ME124,6.14
U18ME125,7.46
U18ME126,7.98
U18ME127,8.61
U18ME128,7.24
U18ME129,8.17
U18ME130,8.42
U18ME131,7.76
U18ME132,6.90
U18ME133,9.21
U18ME134,7.92
U18ME135,8.62
U18ME136,8.09
U18ME138,7.55
U18ME139,8.87
U18ME140,9.21
U18ME141,8.01
U18ME142,6.93
U18ME143,8.42
U18ME145,8.26
U18ME146,8.77
U18ME147,7.82
U18ME148,8.21
U18ME149,8.96
U18ME150,8.66
U18ME151,7.99
U18ME152,7.92
U18ME153,8.02
U18ME154,7.82
U18ME155,8.43
U18ME156,7.93
U18ME157,8.64
U18ME160,6.87
U18ME161,7.03
U18ME163,6.97
U18ME164,8.19
U18ME166,7.24
U18ME167,7.18
U18ME168,8.48
U18ME169,6.23
U18ME170,8.81
U18ME171,8.44
U18ME172,7.71
U18ME173,7.39
U18ME174,8.01
U18ME175,8.03
U18ME177,7.76
U18ME178,6.61
U18ME179,8.59
U18ME180,8.07
U18ME181,9.46
U18ME182,8.97
U18ME183,6.91
U18ME184,7.75
U18ME185,6.43
U18ME186,9.06
U18ME187,7.99
U18ME188,7.38
U18ME189,8.06
U18ME190,7.67
U18ME191,8.32
U18ME192,6.87
U18ME193,8.15
U18ME194,6.85
U18ME196,7.37
U18ME197,7.03
U18ME198,8.15
U18ME199,7.22
U18ME200,8.40
U18ME201,7.55
U18ME202,7.61
U18ME203,6.95
U18ME204,8.61
U18ME205,8.29
U18ME206,8.76
U18ME207,9.19
U18ME208,7.85
U18ME209,8.89
U18ME210,7.38
U18ME211,9.02
U18ME212,8.10
U18ME213,8.66
U18ME214,8.51
U18ME215,7.37
U18ME216,8.11
U18ME217,9.18
U18ME218,8.55
U18ME220,8.30
U18ME221,8.09
U18ME222,9.39
U18ME226,7.11
U18ME227,7.29
U18ME228,9.28
U18ME229,9.03
U18ME230,8.71
U18ME231,8.64
U18ME232,8.26
U18ME233,8.55
U18ME234,8.05
U18ME235,8.00
U18ME236,8.11
U18ME237,7.96
