RollNo,CGPA
U18ME001,6.35
U18ME002,8.42
U18ME003,7.10
U18ME004,8.95
U18ME005,9.60
U18ME007,9.01
U18ME008,9.29
U18ME010,8.27
U18ME011,8.65
U18ME012,8.00
U18ME013,7.18
U18ME014,8.02
U18ME015,8.47
U18ME016,8.60
U18ME017,8.96
U18ME018,7.68
U18ME019,8.51
U18ME020,8.09
U18ME021,8.15
U18ME022,9.25
U18ME023,7.65
U18ME024,9.11
U18ME025,9.63
U18ME026,9.27
U18ME027,8.20
U18ME028,9.67
U18ME029,8.65
U18ME030,8.44
U18ME031,8.38
U18ME032,8.35
U18ME033,7.65
U18ME034,8.82
U18ME035,7.87
U18ME036,8.89
U18ME037,9.07
U18ME038,8.27
U18ME039,7.86
U18ME040,7.70
U18ME041,7.44
U18ME042,7.46
U18ME043,7.10
U18ME046,8.79
U18ME047,8.70
U18ME048,8.35
U18ME049,7.07
U18ME050,8.44
U18ME051,8.15
U18ME052,6.73
U18ME053,8.94
U18ME054,8.73
U18ME055,8.65
U18ME056,7.97
U18ME057,7.35
U18ME058,7.45
U18ME059,5.91
U18ME060,8.42
U18ME061,8.53
U18ME062,7.22
U18ME063,8.62
U18ME064,8.87
U18ME065,8.90
U18ME066,8.27
U18ME067,8.69
U18ME068,6.94
U18ME069,9.27
U18ME070,7.94
U18ME071,9.20
U18ME072,7.55
U18ME073,8.74
U18ME074,7.46
U18ME075,7.16
U18ME077,8.92
U18ME078,8.32
U18ME079,7.25
U18ME080,8.92
U18ME081,7.39
U18ME082,7.35
U18ME083,7.04
U18ME084,6.80
U18ME085,8.61
U18ME086,8.49
U18ME087,8.57
U18ME088,7.96
U18ME089,8.00
U18ME090,8.44
U18ME092,8.66
U18ME093,8.18
U18ME094,6.83
U18ME095,7.37
U18ME096,7.41
U18ME097,9.25
U18ME098,7.85
U18ME099,9.39
U18ME100,8.75
U18ME101,8.30
U18ME102,8.76
U18ME103,8.43
U18ME104,8.87
U18ME105,8.58
U18ME107,8.13
U18ME108,7.49
U18ME109,7.88
U18ME110,8.44
U18ME111,7.75
U18ME112,8.03
U18ME113,7.99
U18ME114,7.30
U18ME115,8.83
U18ME116,8.80
U18ME117,8.39
U18ME118,8.17
U18ME119,8.06
U18ME120,8.08
U18ME121,8.23
U18ME122,7.27
U18ME123,8.15
U18ME124,6.46
U18ME125,7.83
U18ME126,8.09
U18ME127,8.69
U18ME128,7.51
U18ME129,8.41
U18ME130,8.56
U18ME131,7.97
U18ME132,7.13
U18ME133,9.30
U18ME134,8.10
U18ME135,8.75
U18ME136,8.18
U18ME138,7.56
U18ME139,8.94
U18ME140,9.23
U18ME141,8.19
U18ME142,7.19
U18ME143,8.49
U18ME145,8.31
U18ME146,8.74
U18ME147,7.91
U18ME148,8.28
U18ME149,8.99
U18ME150,8.71
U18ME151,8.14
U18ME152,8.04
U18ME153,8.06
U18ME154,8.00
U18ME155,8.48
U18ME156,7.94
U18ME157,8.69
U18ME160,7.16
U18ME161,7.29
U18ME163,7.23
U18ME164,8.16
U18ME166,7.42
U18ME167,7.45
U18ME168,8.60
U18ME169,6.56
U18ME170,8.88
U18ME171,8.58
U18ME172,7.86
U18ME173,7.64
U18ME174,8.05
U18ME175,8.11
U18ME177,7.89
U18ME178,6.89
U18ME179,8.66
U18ME180,8.18
U18ME181,9.42
U18ME182,9.01
U18ME183,7.13
U18ME184,7.73
U18ME185,6.73
U18ME186,9.12
U18ME187,8.11
U18ME188,7.58
U18ME189,8.16
U18ME190,7.80
U18ME191,8.41
U18ME192,7.01
U18ME193,8.28
U18ME194,7.16
U18ME196,7.66
U18ME197,7.35
U18ME198,8.03
U18ME199,7.44
U18ME200,8.51
U18ME201,7.75
U18ME202,7.83
U18ME203,7.17
U18ME204,8.67
U18ME205,8.37
U18ME206,8.87
U18ME207,9.24
U18ME208,8.06
U18ME209,8.82
U18ME210,7.63
U18ME211,9.08
U18ME212,8.23
U18ME213,8.77
U18ME214,8.62
U18ME215,7.57
U18ME216,8.25
U18ME217,9.22
U18ME218,8.68
U18ME220,8.33
U18ME221,8.18
U18ME222,9.41
U18ME226,7.36
U18ME227,7.53
U18ME228,9.27
U18ME229,9.07
U18ME230,8.80
U18ME231,8.66
U18ME232,8.37
U18ME233,8.58
U18ME234,8.17
U18ME235,8.13
U18ME236,8.23
U18ME237,8.12
